CustomerID,Gender,tenure,MonthlyCharges,TotalCharges,TechSupport_Yes,OnlineBackup_Yes,StreamingTV_Yes,Contract_OneYear,Contract_TwoYear,Payment_Electronic,Payment_CreditCard,InternetService_Fiber,Churn
7590-VHNKF,Female,22,68,1496,1,1,1,0,1,0,0,0,0
7590-VHVEG,Female,24,21,504,1,0,1,1,0,0,0,1,1
5575-GNVDE,Male,65,38,2470,0,0,0,1,0,0,1,0,0
3668-QPYBK,Male,26,108,2808,0,0,1,0,0,0,0,0,0
7795-CFOCW,Female,45,100,4500,0,1,1,1,0,1,0,1,1
9237-HQITU,Male,10,110,1100,1,0,1,1,0,0,0,0,1
9305-CDSKC,Female,72,96,6912,0,0,0,0,0,0,0,1,0
1452-KIOVK,Female,39,77,3003,0,1,0,0,0,1,0,0,0
6713-OKOMC,Female,16,101,1616,1,1,1,1,0,1,0,1,0
7892-POOKP,Male,33,25,825,1,1,0,0,0,0,0,0,0
6388-TABGU,Female,38,117,4446,1,1,0,1,0,1,0,0,0
9763-GRSKD,Male,67,103,6901,1,1,1,0,1,1,0,0,1
7469-LKBCI,Male,38,120,4560,0,1,1,0,1,0,1,1,0
8091-TTVAX,Male,37,85,3145,1,0,0,1,0,0,1,0,1
0280-XJGEX,Female,64,115,7360,1,0,0,0,1,1,0,1,1
5129-JLPIS,Female,44,64,2816,0,0,0,0,1,1,0,0,0
3655-SNQYZ,Female,46,92,4232,1,1,0,1,0,0,1,1,0
8191-XWSZG,Male,52,58,3016,0,0,1,1,0,0,1,0,1
9959-WOFKT,Male,9,33,297,1,1,1,0,1,1,0,1,0
4190-MFLUW,Female,67,25,1675,1,0,1,0,1,0,1,1,1
4183-MYFRB,Female,61,77,4697,1,1,1,1,0,1,0,0,1
8779-QRDMV,Male,38,108,4104,0,1,1,0,0,0,1,0,0
1680-VDCWW,Female,32,115,3680,0,0,1,1,0,0,0,1,0
1066-JKSGK,Male,25,95,2375,1,0,0,0,1,0,1,1,1
3638-WEABW,Male,41,22,902,1,0,1,0,1,1,0,0,1
6322-HRPFA,Female,40,56,2240,1,1,0,1,0,1,0,1,1
6865-JZNKO,Male,12,59,708,1,0,0,1,0,1,0,0,0
6467-CHFZW,Female,68,98,6664,0,1,0,1,0,0,1,0,0
8665-UTDHZ,Male,72,100,7200,0,1,1,1,0,0,1,0,1
5248-YGIJN,Female,52,71,3692,1,1,1,1,0,0,1,1,1
8773-HHUOZ,Male,53,50,2650,1,1,1,1,0,1,0,1,0
3841-NFECX,Female,54,72,3888,0,0,0,1,0,0,0,0,0
4929-XIHVW,Male,59,49,2891,1,0,1,0,1,1,0,0,0
6827-IEAUQ,Male,53,69,3657,1,0,1,0,1,1,0,0,0
7310-EGVHZ,Male,2,101,202,0,0,0,0,1,1,0,0,0
3413-BMNZE,Male,19,31,589,1,1,0,0,1,0,1,0,1
6234-RAAPL,Male,27,43,1161,1,0,0,0,0,1,0,1,1
6047-YHPVI,Male,70,90,6300,1,0,0,1,0,1,0,1,1
6572-ADKRS,Male,34,29,986,0,1,1,1,0,1,0,0,0
5380-WJKOV,Male,67,83,5561,1,1,0,0,0,1,0,0,1
8168-UQWWF,Female,50,67,3350,1,0,0,0,0,1,0,1,0
8865-TNMNX,Male,40,94,3760,0,1,0,1,0,1,0,1,0
9489-DEDVP,Male,4,42,168,0,1,0,0,1,0,1,1,0
9867-JCZSP,Female,46,42,1932,1,0,0,1,0,0,0,1,1
4671-VJLCL,Male,30,69,2070,0,0,0,1,0,1,0,1,1
4080-IIARD,Male,12,74,888,0,0,0,1,0,0,1,1,1
3714-NTNFO,Female,3,44,132,1,0,0,0,1,1,0,0,1
5948-UJZLF,Female,66,43,2838,0,0,1,0,0,0,0,1,1
7760-OYPDY,Female,4,25,100,0,0,1,0,1,0,1,1,1
7639-LIAYI,Female,23,105,2415,1,1,1,0,1,0,1,0,0
2954-PIBKO,Male,12,25,300,1,1,0,1,0,1,0,0,0
8012-SOUDQ,Female,1,36,36,1,1,0,1,0,1,0,0,1
9420-LOJKX,Female,36,59,2124,0,1,0,0,1,0,0,1,1
6575-SUVOI,Female,48,47,2256,1,1,0,0,0,0,1,1,1
7495-OOKFY,Female,35,119,4165,1,0,0,0,0,0,1,0,0
4667-QONEA,Male,72,85,6120,1,0,0,1,0,1,0,1,1
1658-BYGOY,Female,30,76,2280,0,0,0,0,1,0,1,0,0
8769-KKTPH,Male,1,69,69,0,0,1,0,1,0,0,1,0
5067-XJQFU,Female,44,24,1056,0,0,0,0,1,1,0,0,1
3957-SQXML,Female,29,118,3422,1,0,0,1,0,1,0,1,1
5954-BDFSG,Male,44,120,5280,1,0,1,0,0,1,0,0,1
0434-CSFON,Female,4,117,468,0,1,1,1,0,1,0,1,0
1215-FIGMP,Male,12,82,984,0,0,1,1,0,0,1,1,0
0526-SXDJP,Male,10,96,960,0,1,0,1,0,0,0,0,0
0557-ASKVU,Female,65,48,3120,1,0,0,0,0,0,0,1,0
5698-BQJOH,Female,29,104,3016,1,1,1,0,1,1,0,1,0
5122-CYFXA,Male,34,91,3094,1,0,0,1,0,0,0,0,1
8627-ZYGSZ,Male,7,73,511,1,0,1,1,0,1,0,1,1
3410-YOQBQ,Female,20,52,1040,1,1,0,1,0,1,0,1,1
3170-NMYVV,Male,27,62,1674,1,0,0,1,0,1,0,0,0
7410-OIEDU,Male,17,100,1700,1,0,1,1,0,1,0,0,0
2273-QCKXA,Female,30,30,900,0,1,1,0,0,0,0,1,0
0731-EBJQB,Female,21,74,1554,0,1,0,1,0,0,0,1,0
1891-QRQSA,Male,72,59,4248,0,0,1,1,0,0,1,1,1
8028-PNXHQ,Female,46,97,4462,0,1,0,1,0,0,0,1,0
5630-AHZIL,Male,2,72,144,1,0,0,1,0,1,0,1,0
2673-CXQEU,Female,29,37,1073,0,1,1,0,0,0,1,1,0
6416-JNVRK,Male,18,47,846,0,0,0,1,0,1,0,0,1
5590-ZSKRV,Female,24,28,672,1,1,1,1,0,1,0,0,0
0191-ZHSKZ,Male,38,85,3230,1,1,0,1,0,0,1,0,0
3887-PBQAO,Female,55,46,2530,0,0,0,0,0,1,0,1,0
5919-TMRGD,Female,18,77,1386,0,1,1,0,0,1,0,0,1
8108-UXRQN,Male,12,120,1440,0,1,0,1,0,0,1,0,0
9191-MYQKX,Female,66,110,7260,1,1,1,0,1,1,0,0,1
9919-YLNNG,Female,2,108,216,1,0,0,0,0,0,1,0,1
0318-ZOPWS,Female,33,21,693,0,1,0,0,1,1,0,0,0
4445-ZJNMU,Male,64,120,7680,0,1,0,0,0,1,0,0,0
4808-YNLEU,Female,67,27,1809,0,1,1,0,0,1,0,0,1
1862-QRWPE,Female,44,88,3872,0,0,1,0,1,0,1,1,1
2796-NNUFI,Male,25,120,3000,1,0,0,1,0,0,1,0,0
3016-KSVCP,Female,67,114,7638,0,0,1,0,0,0,0,1,1
4767-HZZHQ,Female,7,52,364,0,1,0,1,0,1,0,0,0
2424-WVHPL,Female,42,25,1050,0,1,0,1,0,1,0,0,0
7233-PAHHL,Female,25,70,1750,1,0,1,1,0,0,1,1,0
6067-NGCEU,Female,12,52,624,1,0,0,1,0,1,0,0,1
9848-JQJTX,Female,42,28,1176,1,0,0,0,0,0,0,0,0
8637-XJIVR,Female,46,37,1702,0,1,1,1,0,0,1,0,0
9803-FTJCG,Female,29,104,3016,0,1,0,1,0,1,0,1,0
0278-YXOOG,Male,20,75,1500,0,0,1,0,1,1,0,0,0
3212-KXOCR,Female,13,112,1456,0,1,0,0,0,1,0,0,1
4598-XLKNJ,Male,29,47,1363,1,1,0,0,1,0,1,0,1
6380-ARCEH,Female,39,83,3237,0,1,1,1,0,0,0,1,1
3679-XASPY,Male,59,41,2419,0,0,1,0,0,1,0,1,1
7123-WQUHX,Female,11,97,1067,1,1,1,1,0,0,0,1,1
5386-THSLQ,Female,7,112,784,1,0,0,0,0,0,1,0,1
3192-NQECA,Female,51,87,4437,0,0,0,1,0,1,0,1,1
6180-YBIQI,Female,70,23,1610,1,1,0,1,0,1,0,1,0
6728-DKUCO,Female,20,47,940,0,1,0,0,0,1,0,0,1
9750-BOOHV,Male,14,54,756,0,1,1,1,0,0,1,0,0
8597-CWYHH,Female,40,72,2880,1,0,0,1,0,1,0,1,1
2848-YXSMW,Male,51,69,3519,1,1,0,0,1,0,0,1,1
0486-HECZI,Male,42,99,4158,0,1,1,0,0,0,0,0,1
4549-ZDQYY,Female,10,21,210,0,0,1,0,1,1,0,1,0
5712-AHQNN,Female,52,31,1612,0,0,0,0,0,1,0,0,1
4846-WHAFZ,Male,15,49,735,1,0,1,1,0,1,0,1,0
5256-SKJGO,Male,10,88,880,0,0,0,1,0,1,0,1,1
3071-VBYPO,Male,42,74,3108,1,1,0,0,0,1,0,1,1
9560-BBZXK,Female,66,101,6666,0,1,1,1,0,0,1,1,1
5299-RULOA,Female,45,27,1215,1,0,1,0,0,1,0,1,0
8402-OOOHJ,Male,18,68,1224,1,1,1,0,0,1,0,1,1
9445-ZUEQE,Male,51,113,5763,0,0,1,0,1,1,0,0,1
1091-SOZGA,Male,47,41,1927,0,0,1,1,0,0,0,0,0
2928-HLDBA,Female,9,116,1044,0,1,0,0,1,1,0,1,1
0404-SWRVG,Female,10,50,500,0,0,1,1,0,1,0,1,1
6497-TILVL,Female,53,74,3922,0,1,0,0,0,0,1,1,0
7219-TLZHO,Male,68,103,7004,1,1,0,0,0,0,1,0,0
4622-YNKIJ,Male,15,87,1305,1,0,0,0,0,1,0,0,1
4412-YLTKF,Female,64,113,7232,0,1,0,0,1,1,0,1,0
6734-PSBAW,Female,49,50,2450,1,1,0,0,0,1,0,0,0
3930-ZGWVE,Male,11,42,462,1,1,1,1,0,0,0,0,0
2639-UGMAZ,Female,35,40,1400,1,1,1,0,1,1,0,0,1
2876-GZYZC,Male,61,45,2745,0,0,1,1,0,0,0,1,0
6207-WIOLX,Male,18,31,558,1,0,0,0,1,1,0,0,1
8587-XYZSF,Female,21,94,1974,0,0,1,1,0,1,0,1,0
3091-FYHKI,Male,31,57,1767,1,0,1,0,1,0,1,1,1
2372-HWUHI,Male,54,101,5454,1,1,0,0,1,1,0,0,1
7799-LGRDP,Female,40,28,1120,0,0,1,0,1,1,0,1,1
7850-VWJUU,Male,33,54,1782,0,0,0,0,1,1,0,0,0
3774-VBNXY,Female,18,116,2088,0,0,1,0,0,0,0,1,1
6217-KDYWC,Female,57,52,2964,1,0,0,0,1,1,0,0,1
0390-DCFDQ,Male,35,81,2835,0,0,0,1,0,0,0,0,0
3146-MSEGF,Female,55,84,4620,0,0,0,0,0,1,0,1,0
4080-OGPJL,Male,62,22,1364,1,0,0,1,0,0,1,1,1
